PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Age,RemodAge,TotalSF,Remodeled,TotalPorchSF,TotalBath,MSSubClass_cat,Street_type,Street_10_Quantiles,Street_20_Quantiles,Street_30_Quantiles,Street_50_Quantiles,Prop_Addr,Street_name
528186170,1342,219500,120,RL,48.0,6240,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,No_Pool,No_Fence,2,2008,WD ,Normal,2,1,2684.0,1,35,2.0,subclass120,AVE,group_8,group_15,group_22,group_36,"3629 CHILTON AVE, AMES, USA",CHILTON_AVE
923426070,1274,136000,60,RL,63.0,10475,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0.0,0.0,1,1,3,1,TA,6,Typ,0,No_Fireplace,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,No_Pool,GdWo,3,2010,WD ,Normal,19,19,1898.0,0,0,1.5,subclass60,RD,group_3,group_5,group_7,group_12,"700 KEN MARIL RD, AMES, USA",KEN_MARIL_RD
902204080,861,80000,30,RM,62.0,7404,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,No_Fireplace,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,No_Pool,No_Fence,11,2009,Oth,Normal,89,59,1722.0,1,128,1.0,subclass30,AVE,group_2,group_3,group_4,group_7,"1102 CARROLL AVE, AMES, USA",CARROLL_AVE
535105100,1394,159000,20,RL,0.0,9500,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,185,No_Pool,No_Fence,7,2009,WD ,Normal,46,46,2788.0,0,261,2.5,subclass20,AVE,group_4,group_7,group_11,group_18,"2519 KELLOGG AVE, AMES, USA",KELLOGG_AVE
907405020,1536,214000,20,RL,70.0,9135,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,No_Fireplace,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,No_Pool,No_Fence,12,2008,WD ,Normal,6,5,3072.0,1,74,3.0,subclass20,AVE,group_7,group_14,group_21,group_35,"812 TENNYSON AVE, AMES, USA",TENNYSON_AVE
531382110,1680,163000,60,RL,50.0,8480,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0.0,1.0,2,1,3,1,Gd,7,Typ,0,No_Fireplace,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,No_Pool,No_Fence,10,2008,WD ,Normal,15,14,2566.0,1,96,3.0,subclass60,ST,group_7,group_13,group_20,group_32,"5220 MARYLAND ST, AMES, USA",MARYLAND_ST
906380120,1274,203000,20,RL,68.0,8814,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,No_Fireplace,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,No_Pool,No_Fence,1,2007,New,Partial,2,0,2548.0,1,98,3.0,subclass20,DR,group_8,group_15,group_23,group_37,"319 HARTFORD DR, AMES, USA",HARTFORD_DR
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,N,FuseF,864,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,No_Fireplace,No_Garage,-1.0,No_Garage,0.0,0.0,No_Garage,No_Garage,N,0,0,100,0,No_Pool,No_Fence,9,2008,WD ,Normal,94,58,1728.0,1,100,2.0,subclass30,ST,group_1,group_2,group_2,group_3,"2910 WOOD ST, AMES, USA",WOOD_ST
534152050,1610,205000,20,RL,0.0,10603,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,68,0,0,No_Pool,No_Fence,2,2010,WD ,Normal,33,9,3220.0,1,68,3.0,subclass20,EAST,group_8,group_15,group_22,group_36,"2102 PRAIRIE VIEW EAST, AMES, USA",PRAIRIE_VIEW_EAST
923252075,1091,130550,80,RL,62.0,7706,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,No_Fireplace,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,No_Pool,No_Fence,8,2009,WD ,Normal,16,13,1475.0,1,0,1.5,subclass80,DR,group_3,group_5,group_7,group_11,"424 TEAGARDEN DR, AMES, USA",TEAGARDEN_DR
531376060,1486,181000,20,RL,65.0,7441,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,No_Fireplace,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,No_Pool,No_Fence,6,2007,WD ,Normal,1,1,2947.0,0,32,2.0,subclass20,AVE,group_7,group_13,group_19,group_31,"1514 CALIFORNIA AVE, AMES, USA",CALIFORNIA_AVE
902201120,789,115000,20,RM,50.0,6000,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,No_Fireplace,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,4,2008,WD ,Partial,60,58,1578.0,1,0,1.0,subclass20,AVE,group_2,group_3,group_4,group_7,"1216 CARROLL AVE, AMES, USA",CARROLL_AVE
923228080,1092,98000,160,RM,21.0,1477,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0.0,0.0,2,1,3,1,TA,6,Typ,0,No_Fireplace,No_Garage,-1.0,No_Garage,0.0,0.0,No_Garage,No_Garage,Y,187,0,0,0,No_Pool,No_Fence,3,2008,WD ,Normal,38,1,1638.0,1,0,2.5,subclass160,PL,group_1,group_1,group_1,group_2,"626 MEADOW PL, AMES, USA",MEADOW_PL
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,0,386,0,No_Pool,No_Fence,5,2009,WD ,Normal,129,6,3880.0,1,386,1.5,subclass70,AVE,group_3,group_6,group_8,group_13,"829 DOUGLAS AVE, AMES, USA",DOUGLAS_AVE
527451330,1092,105500,160,RM,21.0,1680,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0.0,0.0,1,1,3,1,TA,6,Typ,0,No_Fireplace,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,3,2010,WD ,Normal,39,39,1617.0,0,0,1.5,subclass160,CT,group_1,group_2,group_2,group_4,"1342 BARKLEY CT, AMES, USA",BARKLEY_CT
528218100,1458,168165,60,RL,58.0,13204,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0.0,0.0,2,0,3,1,Gd,6,Typ,0,No_Fireplace,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,33,0,0,No_Pool,No_Fence,5,2007,New,Partial,1,0,2066.0,1,33,2.0,subclass60,AVE,group_6,group_12,group_17,group_28,"4205 CRESTMOOR AVE, AMES, USA",CRESTMOOR_AVE
916386140,1466,201000,20,RL,73.0,8925,Pave,No_Alley,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,No_Fireplace,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,18,0,0,No_Pool,No_Fence,7,2009,WD ,Normal,2,2,2932.0,0,18,2.0,subclass20,LN,group_8,group_16,group_24,group_40,"3028 COTTONTAIL LN, AMES, USA",COTTONTAIL_LN
533221090,1573,177500,160,FV,0.0,2117,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0.0,0.0,2,1,3,1,Gd,5,Typ,0,No_Fireplace,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,No_Pool,No_Fence,6,2010,WD ,Normal,10,10,2329.0,0,32,2.5,subclass160,ST,group_6,group_11,group_16,group_27,"2711 HAMPTON ST, AMES, USA",HAMPTON_ST
534128010,2090,199650,60,RL,0.0,10382,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,No_Pool,No_Fence,11,2009,WD ,Normal,36,36,3197.0,0,432,3.5,subclass60,ST,group_4,group_8,group_12,group_20,"1636 JOHNSON ST, AMES, USA",JOHNSON_ST
528106110,2046,450000,20,RL,105.0,15431,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,1.0,0.0,2,1,2,1,Ex,7,Typ,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,65,0,175,No_Pool,No_Fence,8,2007,WD ,Normal,2,1,4040.0,1,240,3.5,subclass20,DR,group_10,group_20,group_29,group_48,"3331 WESTON DR, AMES, USA",WESTON_DR
902206260,886,91300,30,RM,50.0,5784,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,No_Fireplace,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,20,80,0,No_Pool,No_Fence,12,2009,WD ,Normal,71,13,1076.0,1,100,1.0,subclass30,AVE,group_5,group_10,group_14,group_23,"926 DUFF AVE, AMES, USA",DUFF_AVE
528222090,1258,173500,20,RL,64.0,7697,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,No_Fireplace,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,8,2007,New,Partial,0,0,2504.0,0,0,2.0,subclass20,DR,group_6,group_12,group_18,group_30,"4302 WELBECK DR, AMES, USA",WELBECK_DR
528218150,1324,199500,20,RL,100.0,18494,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,No_Fireplace,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,No_Pool,No_Fence,1,2010,WD ,Normal,5,5,2648.0,0,23,2.0,subclass20,AVE,group_6,group_12,group_17,group_28,"4103 CRESTMOOR AVE, AMES, USA",CRESTMOOR_AVE
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,220,No_Pool,No_Fence,6,2008,WD ,Normal,85,8,2681.0,1,220,1.5,subclass50,AVE,group_7,group_13,group_20,group_32,"816 BROOKRIDGE AVE, AMES, USA",BROOKRIDGE_AVE
535453210,1269,155000,20,RL,70.0,7931,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,6,2008,WD ,Normal,48,48,2538.0,0,0,1.5,subclass20,AVE,group_2,group_4,group_5,group_9,"1522 MAXWELL AVE, AMES, USA",MAXWELL_AVE
