PID,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,Fence,MoSold,YrSold,SaleType,SaleCondition,Age,RemodAge,TotalSF,Remodeled,TotalBath,MSSubClass_cat,Street_type,Neighborhood_st,TotalOutdoorSF
906380120,203000,20,RL,68.0,8814,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,2,PConc,4,3,1,925.0,0.0,349.0,GasA,4,Y,SBrkr,1.0,0.0,0,3,1,3,6,Typ,0,Attchd,2,2.0,3,Y,0,1,2007,New,Partial,2,0,2548.0,1,3.0,subclass20,DR,CollgCr_HARTFORD_DR,362
909101060,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,Gable,CompShg,Stucco,Stucco,None,0.0,2,BrkTil,3,3,1,41.0,0.0,823.0,GasA,2,N,FuseF,1.0,0.0,0,2,1,2,5,Typ,0,No_Garage,0,0.0,0,N,0,9,2008,WD ,Normal,94,58,1728.0,1,2.0,subclass30,ST,Edwards_WOOD_ST,100
534152050,205000,20,RL,0.0,10603,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,2,PConc,3,3,2,1200.0,0.0,410.0,GasA,3,Y,SBrkr,1.0,0.0,0,3,1,3,6,Typ,2,Attchd,2,2.0,3,Y,0,2,2010,WD ,Normal,33,9,3220.0,1,3.0,subclass20,EAST,NWAmes_PRAIRIE_VIEW_EAST,236
923252075,130550,80,RL,62.0,7706,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,4,3,4,114.0,270.0,0.0,GasA,4,Y,SBrkr,0.0,1.0,0,2,1,2,5,Typ,0,Attchd,3,1.0,3,Y,0,8,2009,WD ,Normal,16,13,1475.0,1,1.5,subclass80,DR,Mitchel_TEAGARDEN_DR,280
531376060,181000,20,RL,65.0,7441,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,2,PConc,4,3,1,0.0,0.0,1461.0,GasA,4,Y,SBrkr,0.0,0.0,0,3,1,3,7,Typ,0,Attchd,2,2.0,3,Y,0,6,2007,WD ,Normal,1,1,2947.0,0,2.0,subclass20,AVE,SawyerW_CALIFORNIA_AVE,32
902201120,115000,20,RM,50.0,6000,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,CBlock,3,3,1,104.0,169.0,516.0,GasA,4,Y,SBrkr,0.0,0.0,0,2,1,2,5,Typ,0,Detchd,1,1.0,3,Y,0,4,2008,WD ,Partial,60,58,1578.0,1,1.0,subclass20,AVE,OldTown_CARROLL_AVE,0
923228080,98000,160,RM,21.0,1477,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,CBlock,3,3,1,358.0,0.0,188.0,GasA,4,Y,SBrkr,0.0,0.0,1,3,1,2,6,Typ,0,No_Garage,0,0.0,0,Y,0,3,2008,WD ,Normal,38,1,1638.0,1,2.5,subclass160,PL,MeadowV_MEADOW_PL,187
902326030,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,Mansard,CompShg,Stucco,Stucco,None,0.0,2,Stone,3,2,1,0.0,0.0,1240.0,GasW,2,N,SBrkr,0.0,0.0,1,4,1,3,8,Typ,1,Detchd,1,4.0,3,N,0,5,2009,WD ,Normal,129,6,3880.0,1,1.5,subclass70,AVE,OldTown_DOUGLAS_AVE,567
527451330,105500,160,RM,21.0,1680,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,2,CBlock,3,3,1,300.0,0.0,225.0,GasA,2,Y,SBrkr,0.0,0.0,1,3,1,2,6,Typ,0,Detchd,1,1.0,3,Y,0,3,2010,WD ,Normal,39,39,1617.0,0,1.5,subclass160,CT,BrDale_BARKLEY_CT,0
528218100,168165,60,RL,58.0,13204,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,2,PConc,4,3,1,0.0,0.0,608.0,GasA,4,Y,SBrkr,0.0,0.0,0,3,1,3,6,Typ,0,BuiltIn,3,2.0,3,Y,0,5,2007,New,Partial,1,0,2066.0,1,2.0,subclass60,AVE,Gilbert_CRESTMOOR_AVE,133
916386140,201000,20,RL,73.0,8925,Pave,No_Alley,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,4,3,4,16.0,0.0,1450.0,GasA,4,Y,SBrkr,0.0,0.0,0,3,1,3,7,Typ,0,Attchd,3,3.0,3,Y,0,7,2009,WD ,Normal,2,2,2932.0,0,2.0,subclass20,LN,Timber_COTTONTAIL_LN,118
533221090,177500,160,FV,0.0,2117,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,2,PConc,4,3,1,378.0,0.0,378.0,GasA,4,Y,SBrkr,0.0,0.0,1,3,1,3,5,Typ,0,Detchd,1,2.0,3,Y,0,6,2010,WD ,Normal,10,10,2329.0,0,2.5,subclass160,ST,Somerst_HAMPTON_ST,32
534128010,199650,60,RL,0.0,10382,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,2,CBlock,4,3,2,859.0,32.0,216.0,GasA,4,Y,SBrkr,1.0,0.0,1,3,1,2,7,Typ,2,Attchd,2,2.0,3,Y,0,11,2009,WD ,Normal,36,36,3197.0,0,3.5,subclass60,ST,NWAmes_JOHNSON_ST,667
528106110,450000,20,RL,105.0,15431,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,2,PConc,5,3,3,1430.0,0.0,564.0,GasA,4,Y,SBrkr,1.0,0.0,1,2,1,4,7,Typ,2,Attchd,3,3.0,3,Y,0,8,2007,WD ,Normal,2,1,4040.0,1,3.5,subclass20,DR,NridgHt_WESTON_DR,428
902206260,91300,30,RM,50.0,5784,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,BrkTil,2,3,1,0.0,0.0,190.0,GasA,3,Y,FuseA,0.0,0.0,0,2,1,2,4,Typ,0,Attchd,1,1.0,3,Y,0,12,2009,WD ,Normal,71,13,1076.0,1,1.0,subclass30,AVE,OldTown_DUFF_AVE,244
528222090,173500,20,RL,64.0,7697,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,2,PConc,4,3,1,0.0,0.0,1246.0,GasA,4,Y,SBrkr,0.0,0.0,0,3,1,3,6,Typ,0,Attchd,2,2.0,3,Y,0,8,2007,New,Partial,0,0,2504.0,0,2.0,subclass20,DR,Gilbert_WELBECK_DR,0
528218150,199500,20,RL,100.0,18494,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,4,3,1,0.0,0.0,1324.0,GasA,4,Y,SBrkr,0.0,0.0,0,3,1,3,6,Typ,0,Attchd,3,2.0,3,Y,0,1,2010,WD ,Normal,5,5,2648.0,0,2.0,subclass20,AVE,Gilbert_CRESTMOOR_AVE,59
903400180,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,BrkTil,3,3,1,0.0,0.0,833.0,GasA,3,Y,SBrkr,0.0,0.0,1,4,1,3,8,Typ,1,Detchd,1,2.0,3,N,0,6,2008,WD ,Normal,85,8,2681.0,1,1.5,subclass50,AVE,BrkSide_BROOKRIDGE_AVE,220
535453210,155000,20,RL,70.0,7931,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,CBlock,3,3,1,374.0,532.0,363.0,GasA,2,Y,FuseA,0.0,0.0,1,3,1,2,6,Typ,1,Detchd,1,1.0,3,Y,0,6,2008,WD ,Normal,48,48,2538.0,0,1.5,subclass20,AVE,NAmes_MAXWELL_AVE,0
916386010,220000,20,RL,88.0,11896,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,2,PConc,4,3,1,78.0,0.0,1258.0,GasA,4,Y,SBrkr,1.0,0.0,0,3,1,3,6,Typ,1,Attchd,3,3.0,3,Y,0,5,2010,WD ,Normal,2,2,2682.0,0,3.0,subclass20,LN,Timber_CEDAR_LN,148
907181090,196000,60,RL,68.0,9272,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,4,3,1,500.0,0.0,342.0,GasA,4,Y,SBrkr,0.0,0.0,1,3,1,3,7,Typ,0,Attchd,2,2.0,3,Y,0,6,2006,WD ,Normal,7,7,2591.0,0,2.5,subclass60,DR,CollgCr_CERVANTES_DR,225
902206020,61500,30,RM,52.0,7830,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,BrkTil,2,3,1,416.0,0.0,76.0,GasA,2,Y,SBrkr,1.0,0.0,0,1,1,2,3,Typ,0,Detchd,1,1.0,2,N,0,6,2006,WD ,Normal,85,56,984.0,1,2.0,subclass30,ST,OldTown_E_11TH_ST,78
527327050,195000,60,RL,0.0,12046,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,2,CBlock,3,3,1,156.0,0.0,692.0,GasA,2,Y,SBrkr,0.0,0.0,1,4,1,3,8,Typ,1,Attchd,3,2.0,3,Y,0,6,2007,WD ,Normal,31,31,2878.0,0,2.5,subclass60,CT,NWAmes_BUCHANAN_CT,224
527455250,129250,20,RL,65.0,7150,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,2,CBlock,3,3,1,725.0,0.0,263.0,GasA,2,Y,SBrkr,1.0,0.0,0,3,1,2,5,Typ,0,Detchd,1,1.0,3,Y,0,11,2007,WD ,Normal,41,41,1976.0,0,2.0,subclass20,ST,NAmes_28TH_ST,0
528326110,291000,60,RL,0.0,11000,Pave,No_Alley,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,2,PConc,5,3,2,0.0,0.0,1519.0,GasA,4,Y,SBrkr,0.0,0.0,1,4,1,4,8,Typ,1,BuiltIn,2,3.0,3,Y,0,6,2008,WD ,Normal,8,8,3691.0,0,2.5,subclass60,RD,NoRidge_ALMOND_RD,315
914452190,134000,20,RL,71.0,9187,Pave,No_Alley,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,3,1,336.0,0.0,748.0,GasA,2,Y,SBrkr,0.0,0.0,1,3,1,2,5,Typ,0,Attchd,1,2.0,3,Y,0,6,2007,WD ,Normal,24,24,2164.0,0,1.5,subclass20,CIR,Mitchel_OPAL_CIR,278
535425060,179500,20,RL,76.0,11355,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,7,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,2,CBlock,3,3,1,637.0,0.0,675.0,GasA,4,Y,SBrkr,0.0,0.0,1,3,1,2,6,Typ,1,Attchd,2,2.0,3,Y,3,4,2008,WD ,Normal,50,7,2624.0,1,1.5,subclass20,AVE,NAmes_MEADOWLANE_AVE,448
532376250,133500,20,RL,0.0,8638,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,PConc,3,3,1,181.0,0.0,744.0,GasA,3,Y,SBrkr,1.0,0.0,0,2,1,2,5,Typ,0,Detchd,1,2.0,3,Y,0,10,2006,WD ,Normal,43,43,1850.0,0,2.0,subclass20,ST,Sawyer_TORONTO_ST,277
535379110,148000,70,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,9,Gable,CompShg,Wd Sdng,HdBoard,None,0.0,3,CBlock,4,3,4,0.0,0.0,736.0,GasA,4,Y,SBrkr,0.0,0.0,1,3,1,3,6,Typ,0,No_Garage,0,0.0,0,N,0,7,2007,WD ,Normal,112,8,2270.0,1,1.5,subclass70,AVE,OldTown_KELLOGG_AVE,112
528118010,325300,60,RL,101.0,14215,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,2,PConc,5,3,4,0.0,0.0,1158.0,GasA,4,Y,SBrkr,0.0,0.0,1,4,1,3,9,Typ,1,BuiltIn,2,3.0,3,Y,0,11,2006,New,Partial,1,0,3534.0,1,3.5,subclass60,CIR,NridgHt_PRESTON_CIR,394
528235160,215000,60,RL,59.0,11796,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,PConc,4,3,4,0.0,0.0,847.0,GasA,4,Y,SBrkr,0.0,0.0,1,4,1,3,8,Typ,1,BuiltIn,3,2.0,3,Y,0,7,2007,WD ,Normal,3,2,2806.0,1,2.5,subclass60,DR,Gilbert_WELBECK_DR,148
905478030,131000,50,RL,60.0,11409,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,CBlock,3,3,1,292.0,0.0,476.0,GasA,3,Y,SBrkr,0.0,0.0,1,3,1,2,8,Min2,1,Attchd,1,1.0,3,Y,0,1,2009,WD ,Normal,60,1,2484.0,1,1.5,subclass50,ST,Edwards_WEST_ST,160
902106130,109500,30,RM,56.0,4485,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,PConc,3,3,1,579.0,0.0,357.0,GasA,2,Y,SBrkr,1.0,0.0,0,2,1,2,5,Typ,1,No_Garage,0,0.0,0,P,3,5,2010,WD ,Normal,90,60,1872.0,1,2.0,subclass30,AVE,OldTown_GRAND_AVE,186
902102080,110000,50,RM,60.0,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,PConc,3,3,1,0.0,0.0,440.0,GasA,3,Y,SBrkr,0.0,0.0,1,2,1,2,5,Typ,0,Detchd,1,2.0,3,Y,3,5,2009,WD ,Normal,99,28,1670.0,1,1.5,subclass50,AVE,OldTown_BURNETT_AVE,202
909176170,148488,90,RL,60.0,10890,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,5,6,Hip,CompShg,Wd Sdng,Plywood,None,0.0,2,PConc,3,3,2,371.0,0.0,925.0,Grav,1,N,FuseA,2.0,0.0,0,6,2,2,12,Min2,0,No_Garage,0,0.0,0,Y,0,1,2007,WD ,AdjLand,84,57,3888.0,1,4.0,subclass90,AVE,SWISU_HAYWARD_AVE,982
533206070,193800,120,FV,32.0,3784,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,2,PConc,4,3,1,60.0,0.0,1451.0,GasA,4,Y,SBrkr,1.0,0.0,0,2,1,3,5,Typ,0,Attchd,3,2.0,3,Y,0,2,2007,New,Partial,1,0,3076.0,1,3.0,subclass120,DR,Somerst_BRISTOL_DR,120
527302020,178000,80,RL,78.0,12090,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,7,Hip,CompShg,VinylSd,VinylSd,BrkFace,74.0,2,CBlock,4,3,1,0.0,0.0,585.0,GasA,4,Y,SBrkr,0.0,0.0,1,3,1,2,7,Typ,1,BuiltIn,3,2.0,3,Y,0,1,2007,WD ,Abnorml,23,4,2453.0,1,3.5,subclass80,AVE,NWAmes_EISENHOWER_AVE,527
