PID,SalePrice,GrLivArea,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,Age,RemodAge,TotalSF,Remodeled,TotalPorchSF,TotalBath,MSSubClass_cat,Street_type,Neighborhood_st
527301080,182900,1440,RL,0.0,12546,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,310.0,Gd,Gd,CBlock,Gd,TA,No,BLQ,678.0,Unf,0.0,762.0,1440.0,GasA,Ex,Y,SBrkr,1440,0,0.0,0.0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1981.0,Fin,2.0,467.0,TA,TA,Y,0,0,99,0,No_Pool,No_Fence,4,2007,WD ,Normal,26,26,2880.0,0,99,2.0,subclass20,DR,NWAmes_BUCHANAN_DR
923229040,153500,1008,RL,72.0,9129,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,144.0,TA,TA,PConc,Gd,TA,Av,GLQ,923.0,Unf,0.0,0.0,923.0,GasA,TA,Y,SBrkr,1008,0,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Fa,Attchd,1977.0,Fin,2.0,678.0,TA,TA,Y,201,66,0,0,No_Pool,MnPrv,7,2007,WD ,Normal,30,30,1931.0,0,66,2.0,subclass85,DR,Mitchel_SOUTHDALE_DR
527146010,239500,1734,RL,57.0,8013,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,741.0,Unf,0.0,846.0,1587.0,GasA,Ex,Y,SBrkr,1734,0,1.0,0.0,2,0,2,1,Gd,6,Typ,0,No_Fireplace,Attchd,1995.0,RFn,2.0,528.0,TA,TA,Y,52,50,0,0,No_Pool,No_Fence,9,2009,WD ,Normal,14,13,3321.0,1,50,3.0,subclass120,RD,StoneBr_STONE_BROOKE_RD
906340110,297000,1718,RL,79.0,10637,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,No_Pool,No_Fence,9,2009,WD ,Normal,2,1,3423.0,1,44,3.0,subclass20,DR,CollgCr_TABOR_DR
535325320,115000,1540,RL,55.0,7150,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,150.0,Unf,0.0,1040.0,1190.0,GasA,Gd,Y,SBrkr,1040,500,1.0,0.0,1,0,4,1,Fa,7,Typ,0,No_Fireplace,Detchd,2002.0,Unf,1.0,352.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,8,2007,WD ,Normal,52,52,2730.0,0,0,2.0,subclass50,ST,NAmes_16TH_ST
910206010,68104,845,RM,64.0,11067,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,2,4,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,No_Bsmt,No_Bsmt,No_Bsmt,No_Bsmt,0.0,No_Bsmt,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,640,0,0.0,0.0,1,0,1,1,TA,4,Maj2,0,No_Fireplace,Detchd,1950.0,Unf,1.0,256.0,TA,Fa,N,48,0,0,0,No_Pool,No_Fence,3,2007,WD ,Normal,68,57,845.0,1,0,1.0,subclass50,AVE,IDOTRR_S_RUSSELL_AVE
905101330,89500,1296,RL,72.0,10791,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,No_Bsmt,No_Bsmt,No_Bsmt,No_Bsmt,0.0,No_Bsmt,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1296,0,0.0,0.0,2,0,2,2,TA,6,Typ,0,No_Fireplace,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,10,2006,WD ,Normal,39,39,1296.0,0,0,2.0,subclass90,ST,Sawyer_QUEBEC_ST
903400180,207000,1848,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0.0,0.0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,0,0,220,No_Pool,No_Fence,6,2008,WD ,Normal,85,8,2681.0,1,220,1.5,subclass50,AVE,BrkSide_BROOKRIDGE_AVE
906230020,269500,2787,RL,0.0,7939,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,No_Pool,No_Fence,10,2009,WD ,Normal,9,9,3955.0,0,0,7.0,subclass90,AVE,SawyerW_NORTH_DAKOTA_AVE
533244030,254000,1848,FV,68.0,7379,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,484.0,Unf,0.0,491.0,975.0,GasA,Ex,Y,SBrkr,975,873,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000.0,RFn,2.0,592.0,TA,TA,Y,280,184,0,0,No_Pool,No_Fence,4,2010,WD ,Normal,10,10,2823.0,0,184,3.5,subclass60,DR,Somerst_CAMDEN_DR
528427040,213133,1369,RL,75.0,9910,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1369.0,1369.0,GasA,Ex,Y,SBrkr,1369,0,0.0,0.0,2,0,3,1,Gd,5,Typ,0,No_Fireplace,Attchd,2007.0,Unf,2.0,605.0,TA,TA,Y,0,203,0,0,No_Pool,No_Fence,9,2007,New,Partial,0,0,2738.0,0,203,2.0,subclass20,DR,Somerst_CULLEN_DR
905426010,243000,2158,RL,84.0,12615,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,2001,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,Gd,Av,ALQ,477.0,Unf,0.0,725.0,1202.0,GasA,TA,Y,SBrkr,2158,0,1.0,0.0,2,0,4,1,Gd,7,Typ,1,Gd,Attchd,1950.0,Unf,2.0,576.0,TA,TA,Y,0,29,39,0,No_Pool,MnPrv,6,2007,WD ,Normal,57,6,3360.0,1,68,3.0,subclass20,ST,Edwards_OAKLAND_ST
902207130,12789,832,RM,68.0,9656,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,2,1923,1970,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,Fa,BrkTil,Fa,Fa,No,Unf,0.0,Unf,0.0,678.0,678.0,GasA,TA,N,SBrkr,832,0,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1928.0,Unf,2.0,780.0,Fa,Fa,N,0,0,0,0,No_Pool,No_Fence,6,2010,WD ,Abnorml,87,40,1510.0,1,0,1.0,subclass30,AVE,OldTown_MAXWELL_AVE
905478140,125000,1342,RL,58.0,9280,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1951,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Fa,TA,No,ALQ,557.0,Unf,0.0,785.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,1.0,0.0,1,0,4,1,TA,7,Typ,0,No_Fireplace,Detchd,1951.0,Unf,1.0,256.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,4,2007,WD ,Normal,56,56,2684.0,0,0,2.0,subclass20,AVE,Edwards_HOWARD_AVE
913350030,242500,1625,RL,69.0,23580,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,6,6,1979,1979,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,776.0,Unf,0.0,849.0,1625.0,GasA,TA,Y,SBrkr,1625,0,0.0,1.0,2,0,3,1,Fa,6,Typ,1,TA,Attchd,1979.0,Fin,2.0,576.0,TA,TA,Y,136,28,0,0,No_Pool,No_Fence,9,2006,WD ,Normal,27,27,3250.0,0,28,2.5,subclass20,ST,Mitchel_CRYSTAL_ST
533206040,176400,1143,FV,34.0,3628,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1143.0,1143.0,GasA,Ex,Y,SBrkr,1143,0,0.0,0.0,1,1,1,1,Gd,5,Typ,1,Gd,Attchd,2004.0,RFn,2.0,588.0,TA,TA,Y,0,191,0,0,No_Pool,No_Fence,5,2006,WD ,Normal,2,2,2286.0,0,191,1.5,subclass120,DR,Somerst_BRISTOL_DR
923203140,160500,1189,RM,32.0,4500,Pave,No_Alley,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1997,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,197.0,TA,TA,PConc,Ex,TA,No,GLQ,864.0,Unf,0.0,325.0,1189.0,GasA,Ex,Y,SBrkr,1189,0,1.0,0.0,2,0,2,1,TA,4,Typ,0,No_Fireplace,Attchd,1997.0,RFn,2.0,392.0,TA,TA,Y,0,122,0,0,No_Pool,No_Fence,4,2008,WD ,Normal,11,11,2378.0,0,122,3.0,subclass120,DR,Mitchel_EMERALD_DR
532378120,62383,864,RL,60.0,8281,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,553.0,BLQ,311.0,0.0,864.0,GasA,Gd,Y,SBrkr,864,0,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Detchd,1965.0,Unf,1.0,360.0,TA,TA,Y,0,0,236,0,No_Pool,GdWo,12,2009,WD ,Normal,44,44,1728.0,0,236,1.0,subclass20,AVE,Sawyer_GARFIELD_AVE
905475150,123500,1148,RL,57.0,6420,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Ex,Gd,Mn,LwQ,210.0,ALQ,551.0,219.0,980.0,GasA,Fa,Y,FuseA,1148,0,0.0,1.0,1,0,2,1,TA,6,Typ,0,No_Fireplace,Detchd,1952.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,No_Pool,No_Fence,9,2006,WD ,Normal,54,54,2128.0,0,0,1.5,subclass20,ST,Edwards_WOODLAND_ST
535376060,149000,1352,RL,60.0,10800,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,1939,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,Ex,Y,SBrkr,676,676,0.0,1.0,2,0,4,1,Gd,7,Typ,0,No_Fireplace,Detchd,1939.0,Unf,2.0,720.0,TA,TA,Y,187,0,128,0,No_Pool,No_Fence,8,2009,WD ,Normal,70,3,2028.0,1,128,2.5,subclass60,AVE,OldTown_DOUGLAS_AVE
528326060,248000,2285,RL,0.0,11000,Pave,No_Alley,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,72.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,969.0,969.0,GasA,Ex,Y,SBrkr,997,1288,0.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,2000.0,Fin,3.0,648.0,TA,TA,Y,0,56,0,0,No_Pool,No_Fence,6,2007,WD ,Normal,7,7,3254.0,0,56,2.5,subclass60,RD,NoRidge_ALMOND_RD
906385020,187000,1222,RL,64.0,7360,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2010,2010,Gable,CompShg,VinylSd,VinylSd,Stone,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1198.0,1222.0,GasA,Ex,Y,SBrkr,1222,0,0.0,0.0,2,0,2,1,Gd,6,Typ,0,No_Fireplace,Attchd,2009.0,RFn,2.0,615.0,TA,TA,Y,0,54,0,0,No_Pool,No_Fence,3,2010,WD ,Normal,0,0,2444.0,0,54,2.0,subclass20,ST,CollgCr_DURANT_ST
531451020,193000,1617,RL,50.0,8012,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1994,Gable,CompShg,Plywood,Plywood,None,0.0,Gd,TA,PConc,Gd,TA,No,LwQ,165.0,GLQ,841.0,598.0,1604.0,GasA,Ex,Y,SBrkr,1617,0,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1993.0,RFn,2.0,533.0,TA,TA,Y,0,69,0,0,No_Pool,No_Fence,7,2008,WD ,Normal,15,14,3221.0,1,69,3.0,subclass120,AVE,SawyerW_INDIANA_AVE
914476010,171500,1279,RL,75.0,10125,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,641.0,LwQ,279.0,276.0,1196.0,GasA,TA,Y,SBrkr,1279,0,0.0,1.0,2,0,3,1,TA,6,Typ,2,Fa,Detchd,1980.0,Unf,2.0,473.0,TA,TA,Y,238,83,0,0,No_Pool,MnPrv,2,2008,WD ,Normal,31,31,2475.0,0,83,2.5,subclass20,ST,Mitchel_CRYSTAL_ST
907275090,203000,1504,RL,73.0,11883,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,690.0,Unf,0.0,814.0,1504.0,GasA,Ex,Y,SBrkr,1504,0,1.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,Fin,2.0,478.0,TA,TA,Y,115,66,0,0,No_Pool,No_Fence,6,2009,WD ,Normal,13,13,3008.0,0,66,3.0,subclass20,DR,CollgCr_HEMINGWAY_DR
911226030,65000,864,C (all),60.0,9000,Grvl,No_Alley,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Stone,Fa,Fa,Mn,Unf,0.0,Unf,0.0,592.0,592.0,GasA,Ex,Y,SBrkr,432,432,0.0,0.0,1,1,3,1,Fa,5,Min2,0,No_Fireplace,Detchd,1920.0,Unf,1.0,216.0,Fa,Fa,N,0,30,160,0,No_Pool,No_Fence,6,2008,WD ,Normal,88,58,1456.0,1,190,1.5,subclass70,AVE,IDOTRR_CHERRY_AVE
903228040,157000,1497,RM,50.0,6000,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1937,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,TA,TA,No,Rec,201.0,LwQ,162.0,462.0,825.0,GasA,Ex,Y,SBrkr,825,672,0.0,0.0,2,0,3,1,TA,5,Typ,0,No_Fireplace,Detchd,2004.0,Unf,1.0,672.0,TA,TA,Y,272,0,0,0,No_Pool,GdPrv,5,2008,WD ,Normal,71,8,2322.0,1,0,2.0,subclass50,AVE,BrkSide_HARDING_AVE
904100160,135000,1271,RL,115.0,21286,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,720.0,720.0,GasA,TA,Y,SBrkr,720,551,0.0,0.0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1948.0,Unf,1.0,312.0,TA,TA,Y,0,0,108,0,No_Pool,No_Fence,8,2008,WD ,Normal,60,58,1991.0,1,108,2.0,subclass50,RD,Sawyer_ROSS_RD
528431060,245000,1563,RL,78.0,10206,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,468.0,TA,TA,PConc,Gd,TA,No,GLQ,33.0,Unf,0.0,1530.0,1563.0,GasA,Ex,Y,SBrkr,1563,0,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,3.0,758.0,TA,TA,Y,144,99,0,0,No_Pool,No_Fence,10,2008,WD ,Normal,1,1,3126.0,0,99,2.0,subclass20,ST,Somerst_DALTON_ST
